from_run_id,to_run_id,finite_difference_MAC_CNY_per_tCO2,emissions_reduction_ton,cost_change_cny
r2_R2C_flexibility_ablation_ramped_0052_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25,r2_R2C_flexibility_ablation_ramped_0053_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p15,7223.982252614091,482722.7355775584,3487180474.7456064
r2_R2C_flexibility_ablation_ramped_0053_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p15,r2_R2C_flexibility_ablation_ramped_0054_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p14,13256.560463791451,48272.273557755165,639924313.1430626
r2_R2C_flexibility_ablation_ramped_0059_k100_repday_opt_base_with_thermal10_liion_4h_with_degradation_baseline_capfix0p40,r2_R2C_flexibility_ablation_ramped_0060_k100_repday_opt_base_with_thermal10_liion_4h_with_degradation_baseline_capfix0p25,1708.4830051083147,724084.1033663312,1237085384.870469
r2_R2C_flexibility_ablation_ramped_0060_k100_repday_opt_base_with_thermal10_liion_4h_with_degradation_baseline_capfix0p25,r2_R2C_flexibility_ablation_ramped_0061_k100_repday_opt_base_with_thermal10_liion_4h_with_degradation_baseline_capfix0p15,7216.219327564448,482722.7355775571,3483433134.32955
r2_R2C_flexibility_ablation_ramped_0061_k100_repday_opt_base_with_thermal10_liion_4h_with_degradation_baseline_capfix0p15,r2_R2C_flexibility_ablation_ramped_0062_k100_repday_opt_base_with_thermal10_liion_4h_with_degradation_baseline_capfix0p14,13274.702704463347,48272.273557756445,640800080.347744
r2_R2D_network_abstraction_revised_0080_k100_repday_opt_base_with_DR10_EV_medium_thermal10_liion_4h_with_degradation_baseline_capfix0p40_copperplate,r2_R2D_network_abstraction_revised_0081_k100_repday_opt_base_with_DR10_EV_medium_thermal10_liion_4h_with_degradation_baseline_capfix0p25_copperplate,843.7869915775753,724084.1033663354,610972747.2286263
r2_R2D_network_abstraction_revised_0081_k100_repday_opt_base_with_DR10_EV_medium_thermal10_liion_4h_with_degradation_baseline_capfix0p25_copperplate,r2_R2D_network_abstraction_revised_0082_k100_repday_opt_base_with_DR10_EV_medium_thermal10_liion_4h_with_degradation_baseline_capfix0p14_copperplate,2060.0178198914646,530995.0091353124,1093859181.0921745
r2_R2D_network_abstraction_revised_0074_k100_repday_opt_base_with_DR10_EV_medium_thermal10_liion_4h_with_degradation_baseline_capfix0p40_node_interface,r2_R2D_network_abstraction_revised_0075_k100_repday_opt_base_with_DR10_EV_medium_thermal10_liion_4h_with_degradation_baseline_capfix0p25_node_interface,1958.007632969081,724084.103366323,1417762201.3028336
r2_R2D_network_abstraction_revised_0086_k100_repday_opt_base_with_DR10_EV_medium_thermal10_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,r2_R2D_network_abstraction_revised_0087_k100_repday_opt_base_with_DR10_EV_medium_thermal10_liion_4h_with_degradation_baseline_capfix0p25_spatial_transfer_proxy,1090.2973800661111,724084.1033663335,789467000.8478327
r2_R2D_network_abstraction_revised_0087_k100_repday_opt_base_with_DR10_EV_medium_thermal10_liion_4h_with_degradation_baseline_capfix0p25_spatial_transfer_proxy,r2_R2D_network_abstraction_revised_0088_k100_repday_opt_base_with_DR10_EV_medium_thermal10_liion_4h_with_degradation_baseline_capfix0p14_spatial_transfer_proxy,3501.325701279094,530995.0091353089,1859186472.7363844
r2_R2D_network_abstraction_revised_0077_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_copperplate,r2_R2D_network_abstraction_revised_0078_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25_copperplate,771.1625201290561,724084.1033663342,558386521.9373703
r2_R2D_network_abstraction_revised_0078_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25_copperplate,r2_R2D_network_abstraction_revised_0079_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p14_copperplate,1946.040962475237,530995.0091353122,1033338038.6472301
r2_R2D_network_abstraction_revised_0071_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_node_interface,r2_R2D_network_abstraction_revised_0072_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25_node_interface,1691.5861807091887,724084.1033663312,1224850662.9256897
r2_R2D_network_abstraction_revised_0072_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25_node_interface,r2_R2D_network_abstraction_revised_0073_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p14_node_interface,7772.398453630208,530995.0091353136,4127104787.888669
r2_R2D_network_abstraction_revised_0083_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40_spatial_transfer_proxy,r2_R2D_network_abstraction_revised_0084_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25_spatial_transfer_proxy,901.888025230639,724084.1033663377,653042782.0859642
r2_R2D_network_abstraction_revised_0084_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25_spatial_transfer_proxy,r2_R2D_network_abstraction_revised_0085_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p14_spatial_transfer_proxy,3247.295906606688,530995.0091353117,1724297919.5936785
r2_R2E_spatial_resolution_revised_0092_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40,r2_R2E_spatial_resolution_revised_0093_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25,1691.5861807091887,724084.1033663312,1224850662.9256897
r2_R2E_spatial_resolution_revised_0093_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25,r2_R2E_spatial_resolution_revised_0094_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p14,7772.398453630208,530995.0091353136,4127104787.888669
