experiment_id,run_id,r2_family,technology_set,grid_carbon_scenario,spatial_resolution,network_mode,fixed_baseline_cap_ratio,co2_cap_mt,actual_emissions_mt,total_system_cost_billion_cny,dual_MAC_CNY_per_tCO2,dual_shadow_price_raw,co2_cap_slack,co2_cap_is_binding,is_valid_result,invalid_reason
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0028_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p25,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.25,1.2068068389438917,1.2068068389438944,6.525614889641329,2703.684860476835,-2703.684860476835,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0029_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p15,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.15,0.7240841033663348,0.7240841033663369,9.914584828204921,12393.880851552429,-12393.880851552429,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0030_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_low_baseline_capfix0p14,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.14,0.6758118298085793,0.6758118298085807,10.53520547441632,12898.002501001563,-12898.002501001563,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0031_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_mid_baseline_capfix1p00,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,1.0,4.827227355775566,2.4115649555168153,5.212000088506674,,-0.0,2415662.400258756,False,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0032_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_mid_baseline_capfix0p40,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.4,1.9308909423102263,1.9308909423102258,5.3709271833666525,850.3233316789649,-850.3233316789649,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0033_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_mid_baseline_capfix0p25,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.25,1.2068068389438917,1.2068068389438946,6.595777846292342,2773.3567110555005,-2773.3567110555005,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0034_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_mid_baseline_capfix0p15,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.15,0.7240841033663348,0.7240841033663363,10.082958321037948,12785.179159774192,-12785.179159774192,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0035_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_mid_baseline_capfix0p14,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.14,0.6758118298085793,0.6758118298085811,10.722882634181012,13304.350744154934,-13304.350744154934,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0036_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_high_baseline_capfix1p00,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,1.0,4.827227355775566,2.435000193266177,5.246490241115549,,-0.0,2392227.1625093864,False,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0037_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_high_baseline_capfix0p40,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.4,1.9308909423102263,1.930890942310227,5.430483099919084,931.7036527641606,-931.7036527641606,0.0,True,True,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0038_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_high_baseline_capfix0p25,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.25,1.2068068389438917,1.2068068389438944,6.736045563213276,2912.7004122128305,-2912.7004122128305,0.0,True,True,
