experiment_id,run_id,r2_family,dataset_id,spatial_resolution,temporal_mode,technology_set,storage_model,storage_model_label,flex_case,network_mode,grid_carbon_scenario,fixed_baseline_reference_ton,fixed_baseline_cap_ratio,co2_cap_ton_config,bess_calendar_ageing_cost_yuan_per_kwh_year,dr_ramp_fraction_per_h,thermal_ramp_fraction_per_h,solver_status,is_valid_result,invalid_reason,runtime_seconds,git_commit,pv_mw,wind_mw,bess_power_mw,bess_energy_mwh,ldes_power_mw,ldes_energy_mwh,grid_expansion_mw,total_grid_interface_mw,E_ref_grid_only_ton,E_lc_unconstrained_ton,E_min_techset_ton,co2_cap_ratio,co2_cap_ton,actual_emissions_ton,reduction_vs_grid_only,reduction_vs_unconstrained_lc,cap_violation_ton,cap_violation_ratio,pv_cost,wind_cost,bess_power_cost,bess_energy_cost,bess_degradation_cost,bess_replacement_proxy_cost,ldes_power_cost,ldes_energy_cost,grid_purchase_cost,grid_expansion_cost,demand_response_cost,ev_flexibility_cost,thermal_flexibility_cost,load_shedding_penalty,total_system_cost,pv_curtailment_mwh,wind_curtailment_mwh,pv_generation_mwh,wind_generation_mwh,bess_charge_mwh,bess_discharge_mwh,bess_throughput_mwh,bess_equivalent_full_cycles,bess_cycling_degradation_cost_yuan,bess_calendar_ageing_cost_yuan,bess_average_duration_h,bess_max_duration_h,ldes_charge_mwh,ldes_discharge_mwh,ldes_equivalent_full_cycles,grid_import_mwh,peak_grid_import_mw,DR_shifted_mwh,DR_peak_reduction_mw,thermal_shifted_mwh,thermal_peak_reduction_mw,EV_charge_mwh,EV_discharge_mwh,co2_cap_mt,actual_emissions_mt,total_system_cost_billion_cny,fixed_cap_ratio_check,source_panel,objective_name,metric,low_mt,high_mt,value_mt,color
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0011_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2050_capfix1p00,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,2050,4827227.355775566,1.0,4827227.355775566,12.0,0.05,0.05,optimal,True,,3.955158700002357,873f2d9,2740.974706371748,493.66250150522615,811.9421153082155,2938.0663629606547,0.0,0.0,0.0,3851.261635805,968998.4655287184,484087.9803647002,135296.37016095125,4.9816666666666665,4827227.355775566,484087.9803647002,0.5004244097532544,0.0,0.0,0.0,1277660382.8894465,509591599.34846246,79159420.09442632,491046186.18769264,174739828.9203869,0.0,0.0,0.0,2679802671.0662584,0.0,0.0,0.0,0.0,0.0,5212000088.506674,567904.5649385243,99960.9006562338,2698474.704575376,1222348.8394806036,1334781.7428265042,1454878.9084706767,2789660.651297181,618.9780661576907,139483032.56485906,35256796.355527855,3.618566283934362,4.0,0.0,0.0,0.0,4034066.503039168,2070.156930450846,0.0,0.0,0.0,0.0,0.0,0.0,4.827227355775566,0.4840879803647002,5.212000088506674,1.0,R2A,,,,,,
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0012_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2050_capfix0p40,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,2050,4827227.355775566,0.4,1930890.9423102264,12.0,0.05,0.05,optimal,True,,3.923152700008359,873f2d9,2740.974706371748,493.66250150522615,811.9421153082155,2938.0663629606547,0.0,0.0,0.0,3851.261635805,968998.4655287184,484087.9803647002,135296.37016095125,1.9926666666666668,1930890.9423102264,484087.9803647002,0.5004244097532544,0.0,0.0,0.0,1277660382.8894465,509591599.34846246,79159420.09442632,491046186.18769264,174739828.9203869,0.0,0.0,0.0,2679802671.0662584,0.0,0.0,0.0,0.0,0.0,5212000088.506674,567904.5649385243,99960.9006562338,2698474.704575376,1222348.8394806036,1334781.7428265042,1454878.9084706767,2789660.651297181,618.9780661576907,139483032.56485906,35256796.355527855,3.618566283934362,4.0,0.0,0.0,0.0,4034066.503039168,2070.156930450846,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102265,0.4840879803647002,5.212000088506674,0.4,R2A,,,,,,
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0013_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2050_capfix0p25,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,2050,4827227.355775566,0.25,1206806.8389438917,12.0,0.05,0.05,optimal,True,,3.921876299980795,873f2d9,2740.974706371748,493.66250150522615,811.9421153082155,2938.0663629606547,0.0,0.0,0.0,3851.261635805,968998.4655287184,484087.9803647002,135296.37016095125,1.2454166666666666,1206806.8389438917,484087.9803647002,0.5004244097532544,0.0,0.0,0.0,1277660382.8894465,509591599.34846246,79159420.09442632,491046186.18769264,174739828.9203869,0.0,0.0,0.0,2679802671.0662584,0.0,0.0,0.0,0.0,0.0,5212000088.506674,567904.5649385243,99960.9006562338,2698474.704575376,1222348.8394806036,1334781.7428265042,1454878.9084706767,2789660.651297181,618.9780661576907,139483032.56485906,35256796.355527855,3.618566283934362,4.0,0.0,0.0,0.0,4034066.503039168,2070.156930450846,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438915,0.4840879803647002,5.212000088506674,0.25,R2A,,,,,,
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0014_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2050_capfix0p15,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,2050,4827227.355775566,0.15,724084.1033663348,12.0,0.05,0.05,optimal,True,,3.958123799995519,873f2d9,2740.974706371748,493.66250150522615,811.9421153082155,2938.0663629606547,0.0,0.0,0.0,3851.261635805,968998.4655287184,484087.9803647002,135296.37016095125,0.74725,724084.1033663348,484087.9803647002,0.5004244097532544,0.0,0.0,0.0,1277660382.8894465,509591599.34846246,79159420.09442632,491046186.18769264,174739828.9203869,0.0,0.0,0.0,2679802671.0662584,0.0,0.0,0.0,0.0,0.0,5212000088.506674,567904.5649385243,99960.9006562338,2698474.704575376,1222348.8394806036,1334781.7428265042,1454878.9084706767,2789660.651297181,618.9780661576907,139483032.56485906,35256796.355527855,3.618566283934362,4.0,0.0,0.0,0.0,4034066.503039168,2070.156930450846,0.0,0.0,0.0,0.0,0.0,0.0,0.7240841033663348,0.4840879803647002,5.212000088506674,0.15,R2A,,,,,,
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0015_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2050_capfix0p14,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,2050,4827227.355775566,0.14,675811.8298085793,12.0,0.05,0.05,optimal,True,,3.9461747000168543,873f2d9,2740.974706371748,493.66250150522615,811.9421153082155,2938.0663629606547,0.0,0.0,0.0,3851.261635805,968998.4655287184,484087.9803647002,135296.37016095125,0.6974333333333335,675811.8298085793,484087.9803647002,0.5004244097532544,0.0,0.0,0.0,1277660382.8894465,509591599.34846246,79159420.09442632,491046186.18769264,174739828.9203869,0.0,0.0,0.0,2679802671.0662584,0.0,0.0,0.0,0.0,0.0,5212000088.506674,567904.5649385243,99960.9006562338,2698474.704575376,1222348.8394806036,1334781.7428265042,1454878.9084706767,2789660.651297181,618.9780661576907,139483032.56485906,35256796.355527855,3.618566283934362,4.0,0.0,0.0,0.0,4034066.503039168,2070.156930450846,0.0,0.0,0.0,0.0,0.0,0.0,0.6758118298085793,0.4840879803647002,5.212000088506674,0.14,R2A,,,,,,
E1_reference_floor,r0001_k100_repday_opt_grid_only_reference_baseline,,,,,grid_only_reference,,,,,baseline,,,,,,,optimal,True,,,,,,,,,,,,4827227.355775566,4827227.355775566,4827227.355775566,,,4827227.355775566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1_reference,min_cost,,,,,
E1_reference_floor,r0002_k100_repday_opt_grid_only_reference_2030,,,,,grid_only_reference,,,,,2030,,,,,,,optimal,True,,,,,,,,,,,,3875993.8621148737,3875993.8621148737,3875993.8621148737,,,3875993.8621148737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1_reference,min_cost,,,,,
E1_reference_floor,r0003_k100_repday_opt_grid_only_reference_2050,,,,,grid_only_reference,,,,,2050,,,,,,,optimal,True,,,,,,,,,,,,968998.4655287184,968998.4655287184,968998.4655287184,,,968998.4655287184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1_reference,min_cost,,,,,
E1_reference_floor,r0004_k100_repday_opt_base_corrected_baseline,,,,,base_corrected,,,,,baseline,,,,,,,optimal,True,,,,,,,,,,,,4827227.355775566,2352796.68674423,674001.4173518054,,,2352796.68674423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1_reference,min_cost,,,,,
E1_reference_floor,r0005_k100_repday_opt_base_corrected_2030,,,,,base_corrected,,,,,2030,,,,,,,optimal,True,,,,,,,,,,,,3875993.8621148737,1889164.285107444,541185.480643805,,,1889164.285107444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1_reference,min_cost,,,,,
