experiment_id,run_id,r2_family,technology_set,grid_carbon_scenario,spatial_resolution,network_mode,fixed_baseline_cap_ratio,co2_cap_mt,actual_emissions_mt,total_system_cost_billion_cny,dual_MAC_CNY_per_tCO2,dual_shadow_price_raw,co2_cap_slack,co2_cap_is_binding,is_valid_result,invalid_reason,finite_difference_MAC_CNY_per_tCO2,source_panel,from_run_id,to_run_id,emissions_reduction_ton,cost_change_cny,source_valid_runs_only,source_valid_run_count,source_validity_scope,source_total_runs,source_invalid_or_failed_runs_excluded,co2_cap_ratio,constraint_family,solver_status,binding_count,max_shadow_price,base_run_id,relaxation_run_id,relaxation_family,relaxed_node_id,relaxation_percent,base_cost_billion_cny,relaxed_cost_billion_cny,cost_reduction_billion_cny,cost_reduction_pct,base_actual_emissions_mt,relaxed_actual_emissions_mt,base_bess_energy_mwh,relaxed_bess_energy_mwh,base_pv_mw,relaxed_pv_mw,base_wind_mw,relaxed_wind_mw
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0034_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_mid_baseline_capfix0p15,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.15,0.7240841033663348,0.7240841033663363,10.082958321037948,12785.179159774192,-12785.179159774192,0.0,True,True,,7223.982252614091,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0035_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_mid_baseline_capfix0p14,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.14,0.6758118298085793,0.6758118298085811,10.722882634181012,13304.350744154934,-13304.350744154934,0.0,True,True,,13256.560463791451,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0037_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_high_baseline_capfix0p40,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.4,1.9308909423102265,1.930890942310227,5.430483099919084,931.7036527641606,-931.7036527641606,0.0,True,True,,364.9860788204679,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0038_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_high_baseline_capfix0p25,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.25,1.2068068389438915,1.2068068389438944,6.736045563213276,2912.7004122128305,-2912.7004122128305,0.0,True,True,,1803.053619357908,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0039_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_high_baseline_capfix0p15,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.15,0.7240841033663348,0.7240841033663376,10.41909175515956,13585.765865456657,-13585.765865456657,0.0,True,True,,7629.734256331801,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0040_k100_repday_opt_base_with_storage_degradation_liion_4h_calendar_high_baseline_capfix0p14,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.14,0.6758118298085793,0.6758118298085809,11.09811153825495,14117.047230461676,-14117.047230461676,0.0,True,True,,14066.455400799769,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0042_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p40,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.4,1.9308909423102265,1.9308909423102207,5.367898530881655,833.3677376766675,-833.3677376766675,0.0,True,True,,324.43684768682647,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0043_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p25,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.25,1.2068068389438915,1.2068068389438924,6.540284846699167,2681.609907280936,-2681.609907280936,0.0,True,True,,1619.1300297396233,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0044_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p15,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.15,0.7240841033663348,0.7240841033663368,9.757172280367392,11989.996428628869,-11989.996428628869,0.0,True,True,,6664.047902818097,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2B_storage_calendar_sensitivity,r2_R2B_storage_calendar_sensitivity_0045_k100_repday_opt_base_with_storage_degradation_liion_8h_calendar_mid_baseline_capfix0p14,R2B_storage_calendar_sensitivity,base_with_storage_degradation,baseline,k100,node_interface,0.14,0.6758118298085793,0.6758118298085807,10.357386020747084,12482.869039464264,-12482.869039464264,0.0,True,True,,12433.923164227126,dual_mac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
